,up,down,left,right
"(11, 62)",-inf,-inf,-305408321.46543014,1.4006086965853717e+144
"(11, 63)",2.396030136227897e+144,-inf,-320313093.9497658,-inf
"(12, 1)",2.6082362029537245e+285,-49921524910.96989,-inf,-inf
"(12, 3)",-24861986794.14093,2.077080463025101e+286,-inf,-inf
"(12, 5)",2.8751892824185847e+283,-103118697.05643244,-inf,-inf
"(12, 7)",7.593919014484617e+287,-3661028737.130909,-inf,-inf
"(12, 9)",1.0343604529307805e+256,1.4506711142914606e+278,-inf,-inf
"(12, 11)",5.842222522652425e+261,6.3873261878921134e+280,-inf,-inf
"(12, 13)",-122252056.79460669,8.175570201416906e+276,-inf,-inf
"(12, 15)",1.0557145716100526e+271,-43328034.722783394,-inf,-inf
